movie_title,director_name,genres,imdb_score,plot_keywords
Avatar,James Cameron,Action|Adventure|Fantasy|Sci-Fi,7.9,avatar|future|marine|native|paraplegic
Pirates of the Caribbean: At World's End,Gore Verbinski,Action|Adventure|Fantasy,7.1,goddess|marriage ceremony|marriage proposal|pirate|singapore
Spectre,Sam Mendes,Action|Adventure|Thriller,6.8,bomb|espionage|sequel|spy|terrorist
The Dark Knight Rises,Christopher Nolan,Action|Thriller,8.5,deception|imprisonment|lawlessness|police officer|terrorist plot
Star Wars: Episode VII - The Force Awakens,Doug Walker,Documentary,7.1,
John Carter,Andrew Stanton,Action|Adventure|Sci-Fi,6.6,alien|american civil war|male nipple|mars|princess
Spider-Man 3,Sam Raimi,Action|Adventure|Romance,6.2,sandman|spider man|symbiote|venom|villain
Tangled,Nathan Greno,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,7.8,17th century|based on fairy tale|disney|flower|tower
Avengers: Age of Ultron,Joss Whedon,Action|Adventure|Sci-Fi,7.5,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero
Harry Potter and the Half-Blood Prince,David Yates,Adventure|Family|Fantasy|Mystery,7.5,blood|book|love|potion|professor
Batman v Superman: Dawn of Justice,Zack Snyder,Action|Adventure|Sci-Fi,6.9,based on comic book|batman|sequel to a reboot|superhero|superman
Superman Returns,Bryan Singer,Action|Adventure|Sci-Fi,6.1,crystal|epic|lex luthor|lois lane|return to earth
Quantum of Solace,Marc Forster,Action|Adventure,6.7,action hero|attempted rape|bond girl|official james bond series|revenge
Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Action|Adventure|Fantasy,7.3,box office hit|giant squid|heart|liar's dice|monster
The Lone Ranger,Gore Verbinski,Action|Adventure|Western,6.5,horse|outlaw|texas|texas ranger|train
Man of Steel,Zack Snyder,Action|Adventure|Fantasy|Sci-Fi,7.2,based on comic book|british actor playing american character|final battle|origin of hero|reboot
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,Action|Adventure|Family|Fantasy,6.6,brother brother relationship|brother sister relationship|good versus evil|king|narnia
The Avengers,Joss Whedon,Action|Adventure|Sci-Fi,8.1,alien invasion|assassin|battle|iron man|soldier
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,Action|Adventure|Fantasy,6.7,blackbeard|captain|pirate|revenge|soldier
Men in Black 3,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,6.8,alien|criminal|m.i.b.|maximum security prison|prison
The Hobbit: The Battle of the Five Armies,Peter Jackson,Adventure|Fantasy,7.5,army|elf|hobbit|middle earth|orc
The Amazing Spider-Man,Marc Webb,Action|Adventure|Fantasy,7.0,lizard|outcast|spider|spider man|teenager
Robin Hood,Ridley Scott,Action|Adventure|Drama|History,6.7,1190s|archer|england|king of england|robin hood
The Hobbit: The Desolation of Smaug,Peter Jackson,Adventure|Fantasy,7.9,dwarf|elf|lake town|mountain|sword and sorcery
The Golden Compass,Chris Weitz,Adventure|Family|Fantasy,6.1,children|epic|friend|girl|quest
King Kong,Peter Jackson,Action|Adventure|Drama|Romance,7.2,animal name in title|ape abducts a woman|gorilla|island|king kong
Titanic,James Cameron,Drama|Romance,7.7,artist|love|ship|titanic|wet
Captain America: Civil War,Anthony Russo,Action|Adventure|Sci-Fi,8.2,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero
Battleship,Peter Berg,Action|Adventure|Sci-Fi|Thriller,5.9,box office flop|hawaii|naval|oahu hawaii|ship
Jurassic World,Colin Trevorrow,Action|Adventure|Sci-Fi|Thriller,7.0,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor
Skyfall,Sam Mendes,Action|Adventure|Thriller,7.8,brawl|childhood home|computer cracker|intelligence agency|terrorist cell
Spider-Man 2,Sam Raimi,Action|Adventure|Fantasy|Romance,7.3,death|doctor|scientist|super villain|tentacle
Iron Man 3,Shane Black,Action|Adventure|Sci-Fi,7.2,armor|explosion|human bomb|missile attack|terrorist
Alice in Wonderland,Tim Burton,Adventure|Family|Fantasy,6.5,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion
X-Men: The Last Stand,Brett Ratner,Action|Adventure|Fantasy|Sci-Fi|Thriller,6.8,battle|mutant|outrage|walking through a wall|x men
Monsters University,Dan Scanlon,Adventure|Animation|Comedy|Family|Fantasy,7.3,cheating|fraternity|monster|singing in a car|university
Transformers: Revenge of the Fallen,Michael Bay,Action|Adventure|Sci-Fi,6.0,autobot|decepticon|machine|sun|symbol
Transformers: Age of Extinction,Michael Bay,Action|Adventure|Sci-Fi,5.7,blockbuster|bumblebee the character|semi truck and trailer|texas|truck
Oz the Great and Powerful,Sam Raimi,Adventure|Family|Fantasy,6.4,circus|magic|magician|oz|witch
The Amazing Spider-Man 2,Marc Webb,Action|Adventure|Fantasy|Sci-Fi,6.7,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager
TRON: Legacy,Joseph Kosinski,Action|Adventure|Sci-Fi,6.8,arcade|bridge|disappearance|escape|warrior
Cars 2,John Lasseter,Adventure|Animation|Comedy|Family|Sport,6.3,best friend|car race|conspiracy|gadget car|spy
Green Lantern,Martin Campbell,Action|Adventure|Sci-Fi,5.6,autopsy|lantern|planet|ring|test pilot
Toy Story 3,Lee Unkrich,Adventure|Animation|Comedy|Family|Fantasy,8.3,college|day care|escape|teddy bear|toy
Terminator Salvation,McG,Action|Adventure|Sci-Fi,6.6,death row|future|machine|rescue|skynet
Furious 7,James Wan,Action|Crime|Thriller,7.2,car falling off a cliff|hospital|revenge|star died before release|terrorist
World War Z,Marc Forster,Action|Adventure|Horror|Sci-Fi|Thriller,7.0,chaos|disease|infection|pandemic|zombie
X-Men: Days of Future Past,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,8.0,dystopia|super strength|supernatural power|time paradox|time travel
Star Trek Into Darkness,J.J. Abrams,Action|Adventure|Sci-Fi,7.8,admiral|captain|manhunt|mission|space
Jack the Giant Slayer,Bryan Singer,Adventure|Fantasy,6.3,bean|giant|king|no opening credits|princess
The Great Gatsby,Baz Luhrmann,Drama|Romance,7.3,ingratitude|mansion|party|title appears in writing|tragedy
Prince of Persia: The Sands of Time,Mike Newell,Action|Adventure|Fantasy|Romance,6.6,alamut|dagger|king|persia|princess
Pacific Rim,Guillermo del Toro,Action|Adventure|Sci-Fi,7.0,giant monster|kaiju|pilot|portal|robot
Transformers: Dark of the Moon,Michael Bay,Action|Adventure|Sci-Fi,6.3,autobot|decepticon|job interview|moon|spacecraft
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,Action|Adventure|Fantasy,6.2,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957
The Good Dinosaur,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,6.8,apatosaurus|asteroid|dinosaur|fear|river
Brave,Mark Andrews,Adventure|Animation|Comedy|Family|Fantasy,7.2,archery|coming of age|female warrior|princess|rebellious daughter
Star Trek Beyond,Justin Lin,Action|Adventure|Sci-Fi|Thriller,7.5,hatred|sequel|space opera|star trek|third part
